Local authority,Library name,Count start,Count end,Type,Loans
Barnet,Barnet Book Club,2019-04-01,2019-06-30,Adult audiobook,9
Barnet,Barnet Book Club,2019-04-01,2019-06-30,Adult fiction,37
Barnet,Barnet Book Club,2019-04-01,2019-06-30,Adult non fiction,23
Barnet,Barnet Book Club,2019-04-01,2019-06-30,Barnet Book Club,662
Barnet,Barnet Book Club,2019-04-01,2019-06-30,Children's fiction,29
Barnet,Barnet Book Club,2019-04-01,2019-06-30,Children's non fiction,2
Barnet,Barnet Book Club,2019-04-01,2019-06-30,Teenage fiction,2
Barnet,Barnet Book Club,2019-04-01,2019-06-30,Teenage non fiction,4
Barnet,Bibliographic Services,2019-04-01,2019-06-30,Adult fiction,122
Barnet,Bibliographic Services,2019-04-01,2019-06-30,Adult non fiction,78
Barnet,Bibliographic Services,2019-04-01,2019-06-30,Children's fiction,40
Barnet,Bibliographic Services,2019-04-01,2019-06-30,DVD certificate 12,1
Barnet,Bibliographic Services,2019-04-01,2019-06-30,DVD certificate 15,2
Barnet,Bibliographic Services,2019-04-01,2019-06-30,DVD certificate U,1
Barnet,Bibliographic Services,2019-04-01,2019-06-30,Teenage fiction,10
Barnet,Burnt Oak,2019-04-01,2019-06-30,Adult audiobook,40
Barnet,Burnt Oak,2019-04-01,2019-06-30,Adult fiction,1085
Barnet,Burnt Oak,2019-04-01,2019-06-30,Adult non fiction,937
Barnet,Burnt Oak,2019-04-01,2019-06-30,Children's fiction,2894
Barnet,Burnt Oak,2019-04-01,2019-06-30,Children's non fiction,386
Barnet,Burnt Oak,2019-04-01,2019-06-30,Compact disc,5
Barnet,Burnt Oak,2019-04-01,2019-06-30,DVD certificate 12,20
Barnet,Burnt Oak,2019-04-01,2019-06-30,DVD certificate 15,8
Barnet,Burnt Oak,2019-04-01,2019-06-30,DVD certificate 18+,3
Barnet,Burnt Oak,2019-04-01,2019-06-30,DVD certificate U,6
Barnet,Burnt Oak,2019-04-01,2019-06-30,Electronic devices,1
Barnet,Burnt Oak,2019-04-01,2019-06-30,Interlending book,1
Barnet,Burnt Oak,2019-04-01,2019-06-30,Language learning,7
Barnet,Burnt Oak,2019-04-01,2019-06-30,Large print adult fiction,27
